ROWNUM	PROVINCE	CITY	COUNTY	LONGITUDE	LATITUDE	VOUCHERSPECIMENS
568	广东省	清远市	英德市	113.273243	24.481873	IBSC0638008
162	广东省	韶关市	乳源瑶族自治县	113.041814	24.954532	IBSC0638009
162	广东省	韶关市	乳源瑶族自治县	113.017595	24.896598	IBSC0638007
364	广西壮族自治区	桂林市	兴安县	110.780028	25.350911	GXMG0123068
364	广西壮族自治区	桂林市	兴安县	110.412697	25.865811	GXMG0109775,IBK00142371,IBK00142372,IBK00188741,IBK00188742,IBK00188743,IBK00188744,IBK00281558,PE01645035
364	广西壮族自治区	桂林市	兴安县	110.415128	25.869361	GXMG0123066,GXMG0123067
386	广西壮族自治区	桂林市	资源县	110.414014	25.873782	IBSC0638011
454	广西壮族自治区	柳州地区	金秀瑶族自治县	110.131833	23.906164	IBSC0638010
134	贵州省	毕节地区	威宁彝族回族苗族自治县	104.2825	26.828333	KUN1391538
134	贵州省	毕节地区	威宁彝族回族苗族自治县	104.636944	26.854166	GZTM0046623,GZTM0046624
488	贵州省	六盘水市	盘县	104.383694	25.74575	GZTM0045427,GZTM0045428
291	湖南省	郴州市	宜章县	112.980078	24.982167	IBSC0638025,IBSC0638028,IBSC0638029
291	湖南省	郴州市	宜章县	113.000775	24.932373	HUFD0000940,IBSC0638026,IBSC0638027
1010	四川省	甘孜藏族自治州	白玉县	98.818931	31.297356	PE01517870,PE01517871,PE01517872
2850	四川省	甘孜藏族自治州	康定县	101.963611	29.9225	CDBI0237414
2853	四川省	甘孜藏族自治州	泸定县	102.279994	29.863697	SM722201021
36	四川省	甘孜藏族自治州	稻城县	100.363801	28.495182	KUN0358982,KUN0358987,PE00156667,PE00156668,PE00156669,PE00156675,PE00156676,PE00156677
38	四川省	甘孜藏族自治州	九龙县	101.251255	28.80709	SM722201022,SM722201023
2864	四川省	凉山彝族自治州	甘洛县	102.584628	29.01678	SM722201025,SM722201026
79	四川省	凉山彝族自治州	普格县	102.472555	27.510539	SM722201027,SM722201028
82	四川省	凉山彝族自治州	盐源县	101.60614	27.889964	PE01133876,PE01133877
216	四川省	雅安市	石棉县	102.366016	29.201641	SM722201019,SM722201020
2765	四川省	雅安市	汉源县	102.668026	29.543885	PE00156612
786	四川省	宜宾市	筠连县	104.641515	28.087255	KUN0358984
2740	西藏自治区	林芝地区	波密县	94.824897	30.296721	PE00156765
2744	西藏自治区	林芝地区	墨脱县	95.103156	29.286735	PE00156761,PE00156762,PE01376457
2507	西藏自治区	日喀则地区	聂拉木县	85.969393	28.084305	PE00034426,PE01532591
48	西藏自治区	日喀则地区	亚东县	88.9682	27.721383	HNWP00017977
48	西藏自治区	日喀则地区	亚东县	89.034097	27.595388	PE02015949
48	西藏自治区	日喀则地区	亚东县	88.890826	27.488603	KUN0358992,PE00156763,PE00156764
48	西藏自治区	日喀则地区	亚东县	88.952958	27.420371	PE00156770
48	西藏自治区	日喀则地区	亚东县	88.898911	27.400664	KUN0358993,PE00034422,PE00156769
98	西藏自治区	山南地区	错那县	91.742487	27.881282	KUN0358994,PE00156767,PE00156768
3	云南省	保山市	隆阳区	99.342611	25.268961	KUN1396564
16	云南省	大理白族自治州	宾川县	100.393949	25.96335	KUN0359112,PE00156712
16	云南省	大理白族自治州	宾川县	100.379953	25.965754	PE00156713
17	云南省	大理白族自治州	大理市	100.03822	25.886924	KUN1220388
17	云南省	大理白族自治州	大理市	100.127835	25.665876	PE00156634
17	云南省	大理白族自治州	大理市	100.099952	25.675776	KUN0359166,KUN0359885,KUN0359886,PE00156618
17	云南省	大理白族自治州	大理市	100.091903	25.681637	KUN1220378,PE02005562
17	云南省	大理白族自治州	大理市	100.101317	25.673757	PE00156633
18	云南省	大理白族自治州	洱源县	100.014074	26.242115	KUN0359104
18	云南省	大理白族自治州	洱源县	100.070631	26.046219	KUN0359107,PE00156665
19	云南省	大理白族自治州	鹤庆县	100.126937	26.243978	KUN0359022,KUN0359023
22	云南省	大理白族自治州	南涧彝族自治县	100.426777	24.742944	KUN1391539
33	云南省	迪庆藏族自治州	德钦县	98.801253	28.464098	PE01479296
33	云南省	迪庆藏族自治州	德钦县	98.812859	28.199501	KUN0359070,PE00156640
33	云南省	迪庆藏族自治州	德钦县	98.876136	28.07406	PE00156636
33	云南省	迪庆藏族自治州	德钦县	98.917602	28.494309	KUN0359010,PE00156752,PE00156753,PE00156754
34	云南省	迪庆藏族自治州	维西傈僳族自治县	99.132457	27.697252	PE00156737
35	云南省	迪庆藏族自治州	香格里拉县	100.111306	27.344541	KUN0359035
35	云南省	迪庆藏族自治州	香格里拉县	99.826402	27.413144	PE01967778
35	云南省	迪庆藏族自治州	香格里拉县	99.982388	28.218380	KUN1391531
35	云南省	迪庆藏族自治州	香格里拉县	100.146466	27.375695	KUN0359073,PE00156705
2858	云南省	昆明市	东川区	102.927278	26.274354	PE01595645
2859	云南省	昆明市	官渡区	102.90361	25.107098	KUN0359161
59	云南省	昆明市	盘龙区	102.726765	25.401054	IBSC0638015,KUN0359102,KUN0359135,PE00156616,PE00156629,PE00156630,PE00156711
68	云南省	昆明市	五华区	102.700072	25.114905	KUN1391526
68	云南省	昆明市	五华区	102.696342	25.105313	KUN0359100,PE00156619
68	云南省	昆明市	五华区	102.709745	25.12298	KUN0359092
69	云南省	昆明市	西山区	102.631889	24.972956	KUN1264638,KUN1264638
72	云南省	丽江地区	宁蒗彝族自治县	100.748169	27.267565	PE01645040
73	云南省	丽江地区	永胜县	100.764283	26.683311	IMDY0024267
73	云南省	丽江地区	永胜县	100.775219	26.748875	IMDY0024266
74	云南省	丽江地区	玉龙纳西族自治县	100.217306	27.472693	KUN0359046
74	云南省	丽江地区	玉龙纳西族自治县	100.268833	27.117053	KUN0359050,KUN0359051,PE00156718
74	云南省	丽江地区	玉龙纳西族自治县	100.343213	27.568804	KUN0359152,PE00034425
74	云南省	丽江地区	玉龙纳西族自治县	99.791033	26.787283	KUN1391525
74	云南省	丽江地区	玉龙纳西族自治县	100.221331	27.023442	KUN0359037,KUN0359075,KUN0359095,PE00156617,PE00156688,PE00156717
89	云南省	临沧地区	永德县	99.647314	24.115115	KUN0360007
89	云南省	临沧地区	永德县	99.700472	24.208777	KUN1391527,KUN1391534,KUN1391535,KUN1391536
92	云南省	怒江傈僳族自治州	福贡县	98.927843	26.554337	KUN0359028,KUN0359085,PE00156648,PE00156693
92	云南省	怒江傈僳族自治州	福贡县	99.009624	26.477461	KUN0359042
233	云南省	思茅地区	景东彝族自治县	100.701905	24.384015	KUN0359133
2768	云南省	玉溪市	澄江县	102.90651	24.766423	KUN0359786
2770	云南省	昭通市	巧家县	103.090244	27.210961	KUN1391529,KUN1391530
2770	云南省	昭通市	巧家县	103.061773	27.229603	KUN0359113
